"run_year","Hatchery.Escapement","Hatchery_to_Hatchery","Natural_to_Hatchery"
1998,99,NA,NA
1999,24,NA,NA
2000,89,NA,NA
2001,104,NA,NA
2002,104,3.10907689345371,100.890923106546
2003,85,7.21808603391528,77.7819139660847
2004,85,8.21375096827144,76.7862490317286
2005,109,3.12398878791596,105.876011212084
2006,93,3.04595091179504,89.954049088205
2007,54,10.1541884403678,43.8458115596322
2008,105,7.6374253167834,97.3625746832166
2009,121,6.23076840341983,114.76923159658
2010,63,0,63
2011,86,3.31934958413256,82.6806504158674
2012,93,2.20033861625287,90.7996613837471
2013,164,0,164
2014,388,242.223508499021,145.776491500979
2015,257,135.476019149806,121.523980850194
2016,137,110.339174299884,26.6608257001161
2017,180,163,17
2018,180,149,31
